,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
26,5zxygjw9zoHAz1QQpSE2se1veYV8PkvdQi6T3WbDAny9YSmMTSg2MsXFnqmfiz7yU9MBNLybNz5SYpCKNWUZj7gr,buyNow,magiceden_v2,BKRAqmuVGdG6dEoBpx6VdKnJLCZKxz7Nofo7jezp54fB,justape,136821444,1654710620,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,9Uk3eSEB9T9pY4XTB27uAx8cKYRLsobr13dLZAyeeLHD,,12.3
27,eQEYvGBfv8BvWh4dS3HGDGD4EV83JNwc669TTTAT8QHh4wmt7eiRsT7gjBQWZk4Cj6y3Cwry2gns9pSQwmXxTVE,buyNow,magiceden_v2,BzciLPRWG4iRNsEd26LfGakeQTStE3jJAUb1EyrmzHEi,justape,136821415,1654710601,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,7YaAJkGe7ZuYaJBaC4c5S6ak8D3eoyALD2hvCiSrdE35,,12.2
28,2yzPA4kneoePzPGiC4XRbzrq7eahLugzWktj2m9GxVniLsk4fd7RpB9iQockkNQDqo45VJsmCF5RJiUo24dTQBtW,buyNow,magiceden_v2,Gomg2qgwELRJkvq2zMZVRMcndeH6UvQx995XxqwTuSnN,justape,136821361,1654710563,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,9syYeetFZFr4h28TWA1kpeYUm2nJcZH1gLUuCuZVhC2m,,11.9
29,FuvsBoBm8NxMEWCfpsgPq4wy49QKjUD6dwcvhznUxuBYs48UrbhF9vey5D1yTsxKwVV5dpy6tSR8KvWKcsJCYDr,buyNow,magiceden_v2,8zQaG7f8BD8n7qV4PunYZbUGnm9CsoW64N3jwWQ9a84a,justape,136821318,1654710527,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,HNhSWtEGap5mY2ta25vRtVLbvG9y8h8eUfUgGZSuLX5A,,12.0
30,2fWoAbmLoBiiRRDQTiN5Y8es9ZRpLvBacJ53r35TBvritvM48mZwRg15cxK44BhAKKiyNTucvvzc3W41a8WB8Ajg,buyNow,magiceden_v2,EUDoWYZQRKdMP5MQNUHQ8U619rVTKgwiL6cHnpoFZ2XJ,justape,136821317,1654710525,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,GUyhcyVEghfgesixxgdHvM6Xy7U5dtoBiNQFC8gwgdZY,,12.0
31,5bzZuDniJb3Nu2NEDve41SqFbrWnrknEn8XnzzjbTxf45qkLb7jZVQYPBaYQtb598TMC5CApw66U1mK3n3XmzK1M,buyNow,magiceden_v2,G2f1jt8J6YQiLnuvbTwkVTdNsNJYHwvDETcYGxau1swj,justape,136821316,1654710525,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,7oAod48eAkNoFKG1PyrkBPk26B55Pp13V3KGUS4t9QXP,,12.0
32,656SKUq4cGigkHXCghGtbkkszt1mBcMrT3jHtopZK2ruCwQS9aFTrvTt3wjrMevb88u7nNEng8ZgutU1dN4X19kf,buyNow,magiceden_v2,5R6N72LsoenwALK4DYvqPsZp3Jb4Sc8xR2w9c9zaHM9J,justape,136821269,1654710486,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,53gtpBLnkw8ueC2hnkiCQYjoNDEAdiACwmpxY43X3rPw,,11.95
33,5DSv43y4pK6Zq8L5v1FaQ5RM7wwmimzJtC8Ai4aX1dQBya9zgcQHuheSVk1zH4sQvfZmXYFzk7Gi98erWgwzqZa2,buyNow,magiceden_v2,fk5K65akwNJrYtJyHn1LQMPHE81enrTiCoLJr83Zspw,justape,136821269,1654710486,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,2ioxYs3KXeW6fxTWg8qcfB3V3PsNfPFmGKKkNKMoKv8B,,12.0
34,39SAVcp12JhB5MDk2Eu4PgvbFHpmqSuUqkcXs8TkDKpVR874u73kWEUz34a28Ld5aUEZ3hj3abFfLU6GyxjinGBM,buyNow,magiceden_v2,3qHA9qrQ6Dj4BDkJ8ZXBk2HGGJVzFT2F98FtwZ4m5G1S,justape,136821249,1654710470,HEkc9JUahK2tNJRUySvq8fbwyQAND44Yyf8a6PzKp5z6,,59Nkzh3u8byPswZkb8GEWr4sHMUVNdDRT9ZuiN9gPU9T,,12.998
35,38i7PNbAHoNRhNk9nxf9pUWGEvhhuXyGp4wBrWks9SP4Jwz8ySJi4xXxi3TXzjSb1CPMMDrtTvkMDYbYm8AmCwWB,buyNow,magiceden_v2,BQ9hz2Eu9TEbpP2iXti1ui4RchNZVNcpQzTBtKHKPjZG,justape,136821223,1654710451,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,3hpc3ufK1zhWdU89VP1paZJDXUxSx1LGhcfa4jvdi7X1,,11.99
