,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
29,15.446081,20.0,Primate #6830,2772,6,https://bafybeie3u7khy4d4iwrd7j32unhmouepe7x3gsjcu5offly6zjbs3ajmkq.ipfs.nftstorage.link/6829.png?ext=png,-4.5539190000000005
555,15.438928,20.0,Primate #927,1241,6,https://bafybeidqnnnorgcjxwkimvqyncf2sajyu5wlfbmknd5wew3ho33ib2dgle.ipfs.nftstorage.link/926.png?ext=png,-4.561071999999999
488,13.280804,17.89,Primate #4781,9897,5,https://bafybeiatuldseetgpzzjirzlgtwauebyqef44fpjjlltetiqx2cn7fbcni.ipfs.nftstorage.link/4780.png?ext=png,-4.609196000000001
355,13.680432,18.3,Primate #2117,9142,5,https://bafybeiaur7w6b6orx7oojtvy4r257e344aj4mx7kkweemkyrscnhs3buei.ipfs.nftstorage.link/2116.png?ext=png,-4.619568000000001
692,13.212758,17.9,Primate #9476,9543,5,https://bafybeienvkwuj5rezppzpzmoewhe4ih47gagfxpgw6xgt7werhwsaigcm4.ipfs.nftstorage.link/9475.png?ext=png,-4.6872419999999995
124,14.619707,19.33,Primate #9336,3482,6,https://bafybeiemb33dswohevm2wdm4mf364l57zqc4el5srjiq36gumckbdwqpzi.ipfs.nftstorage.link/9335.png?ext=png,-4.710292999999998
1145,14.729935,19.45,Primate #7947,4438,6,https://bafybeighno25ckb6lff5st7n3vjmltly43iilcmuxyoh2zjrx64y5by75y.ipfs.nftstorage.link/7946.png?ext=png,-4.720065
171,15.276042,20.0,Primate #5104,3730,6,https://bafybeib4o67s6du6lbyosnsx4mhn6342ykybr5fcyrturq5m2afec6ac5u.ipfs.nftstorage.link/5103.png?ext=png,-4.723958
481,14.774559,19.5,Primate #751,6367,6,https://bafybeigz4vb6vur7laqypjfapcyy4vabh3b5tlxajg4sqfphm4nkyvzldq.ipfs.nftstorage.link/750.png?ext=png,-4.725441
21,13.9666195,18.7,Primate #1706,8404,5,https://bafybeib2m7dtchmq3ujnesajzrmsbulgjww4ncswscl5jkkjhjw4jpxtbq.ipfs.nftstorage.link/1705.png?ext=png,-4.733380499999999
414,13.75906,18.5,Primate #4378,4963,6,https://bafybeibwdjqmo66igchta7pm3oulro4knid5iv277q5gjmqwl76mpkapha.ipfs.nftstorage.link/4377.png?ext=png,-4.74094
86,13.25821,18.0,Primate #9257,5355,6,https://bafybeieftj4ai6nuplnbnr2zx2n3c54p6ox4clnaz2avqvfmt2cestdute.ipfs.nftstorage.link/9256.png?ext=png,-4.74179
173,14.256541,19.0,Primate #265,3485,6,https://bafybeiemf7tqicbhkw6onn4th3vdbfx7q5kutflnn6fmpemqd2dg4bmdiy.ipfs.nftstorage.link/264.png?ext=png,-4.743459
225,13.744407,18.5,Primate #2390,6142,6,https://bafybeifa23ggxurvvz7r4hdxys53xsb5yt5ghogkm43vprgodokbnvzwxe.ipfs.nftstorage.link/2389.png?ext=png,-4.755592999999999
1150,13.902174,18.69,Primate #6164,9884,5,https://bafybeibxcqb5vsoj2rkrhlxfanebqdkhxecmtljdzbytqxourhqhmtkfkq.ipfs.nftstorage.link/6163.png?ext=png,-4.787826000000001
