,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
6685,6685,Primate #9392,Mint,Tiger,Fur Robe,Squinted,Devil Horns,Content,10.15,6.63,1.87,3.85,1.36,18.05,6686,1.1893180806506999e-08,1.36,6.985,6,4jbmMsoE25Z8x6yKN5LLFYHd3u98dGWgoQxbSLnSVk65,14.774905
6366,6366,Primate #751,Red,Skeleton,Winter Coat,Polarized Sunglasses,Anonymous,Content,10.48,6.3100000000000005,2.18,2.82,1.43,18.05,6367,1.049323713492912e-08,1.43,6.878333333333334,6,7K3jKb3d4XDzEQv5MQzX6aLZQnFNuwhhAZUPwg5LjV9t,14.774559
2627,2627,Primate #5425,Purple,Robot,Army Jacket,Baller Shades,Thin Mohawk,Jngl Grill,9.66,8.790000000000001,1.5,2.95,2.0,4.66,2628,3.5018310474e-09,1.5,4.926666666666667,6,7wJhHcarqPg8h1zPYE2NtRGt4M2Pvq5aYfD6dJJXndnc,14.77409
2317,2317,Primate #5652,Purple,Mutated Zombie,Striped Tee,Baller Shades,Cig Hat,Snake,9.66,7.57,1.48,2.95,2.03,4.94,2318,3.2016932774954403e-09,1.48,4.7716666666666665,6,B9TimgtNsDaezKzf2iRGCxBNLk1T7DNgyHNdPkKkAKQb,14.773267
6847,6847,Primate #2547,Blue,Test Dummy,Armor,Squinted,Red Fedora,Content,10.37,4.17,2.02,3.85,2.11,18.05,6848,1.2808154918247149e-08,2.02,6.761666666666668,6,5TxYYiYy5RK76Qcu2tYWXpJjdzXYxKSoW1hNeMpSnkDG,14.772708
5731,5731,Primate #464,Lilac,Stone,Cyber Zip-Up,Flip-Up Glasses,Headset,Content,10.0,7.79,0.89,2.78,2.42,18.05,5732,8.41908380258e-09,0.89,6.988333333333332,6,8DuYyv2Y6zuxPyk6r9XPzDMXxNde1HNDEy2xjLvVc9Ua,14.772252
6958,6958,Primate #1541,Mint,Pill,Striped Jacket,Snow Goggles,,Jngl Grill,10.15,4.15,1.76,2.0500000000000003,19.05,4.66,6959,1.3491541218540005e-08,1.76,6.97,5,DG2sLVeFX4qbgzzRvdzMriu2G6sm2J5ya6YtkubQHcZj,14.772037
3994,3994,Primate #1126,Blue,Naked,Motorcycle Jacket,Classy Glasses,Headdress,Vampire,10.37,19.21,1.91,3.58,0.8999999999999999,4.18,3995,5.1243797504077185e-09,0.8999999999999999,6.691666666666666,6,749KJSsud85j31SC7PqXPpDYGHYruoh7dTsfGaq27Yc1,14.771954
5194,5194,Primate #5491,Green,Robot,Racing Jacket,Crossed Out,Devil Horns,Dumbfounded,9.64,8.790000000000001,2.02,3.37,1.36,9.1,5195,7.1388372316934405e-09,1.36,5.713333333333334,6,FvUte6DDjDvvzzrUKjTorqFwDWVW1GspGu2ks1EbSUvZ,14.770208
9675,9675,Primate #7322,Purple,Naked,Vest N Tie,Eye Patch,,Sassy,9.66,19.21,1.83,3.02,19.05,5.86,9676,1.1448672179623306e-07,1.83,9.771666666666668,5,z2XrSBoGdVsgvzgaoCzVwb4NZoavKMyyS85WS9bHrFV,14.770179
8730,8730,Primate #6350,Purple,Caution Tape,Pullover,Parallelogram Glasses,,Cigar,9.66,8.89,2.13,3.0,19.05,3.85,8731,4.0247179908705e-08,2.13,7.7633333333333345,5,CVKPwzEgqLuqwhqCo19KCExxa9ArS42erVgRdHa3W4sq,14.769972
8792,8792,Primate #1851,Red,Pill,Button-Up Shirt,Cougar Glasses,,Tnt,10.48,4.15,2.09,3.08,19.05,7.88,8793,4.20269215640736e-08,2.09,7.788333333333334,5,2VCco2XGKuRFaTxx2wuaGnw86ckcmn2Qy9TXRJQG2fc5,14.769867
3356,3356,Primate #8503,Red,Tribesman,Baseball Jersey,Crossed Out,Propeller Hat,Pipe,10.48,6.68,2.06,3.37,2.12,4.24,3357,4.368542688303104e-09,2.06,4.825,6,BcaYQEBYbcc1RMFtnyNCEDQU3AxvxUUD7LijbL42ck9,14.768978
3550,3550,Primate #5944,Pink,Naked,Suspenders,Cougar Glasses,Anonymous,Stitches,9.83,19.21,2.11,3.08,1.43,2.62,3551,4.597813840563944e-09,1.43,6.38,6,DvDriuYdD1faKanuH4SGv2hBCt17ia67PLMPYVK8bqV,14.768524
