name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #8293,0.1265,0.0456,0.0253,0.0454,0.0193,0.6672,0.0256,0.0193,0.6672,0.1364142857142857,183.76185878081415,3208
Okay Bear #4743,0.1265,0.144,0.0302,0.094,0.013,0.6672,0.0214,0.013,0.6672,0.15661428571428573,183.75131328308913,3209
Okay Bear #7344,0.1222,0.1268,0.0243,0.0199,0.0357,0.6672,0.0214,0.0199,0.6672,0.14535714285714288,183.71223844641156,3210
Okay Bear #7336,0.1222,0.0495,0.0271,0.0454,0.0268,0.0282,0.0424,0.0268,0.1222,0.0488,183.67145838341807,3211
Okay Bear #7334,0.1261,0.1268,0.0528,0.0965,0.0383,0.0092,0.2698,0.0092,0.2698,0.10278571428571429,183.63049965689473,3212
Okay Bear #853,0.1326,0.144,0.1231,0.0965,0.0124,0.6672,0.0146,0.0124,0.6672,0.17005714285714285,183.60920665725368,3213
Okay Bear #3590,0.1227,0.039,0.0116,0.1309,0.0197,0.6672,0.2698,0.0116,0.6672,0.18012857142857144,183.60397234775408,3214
Okay Bear #9483,0.126,0.0641,0.0243,0.0965,0.0202,0.0282,0.0424,0.0202,0.126,0.057385714285714276,183.60293869970096,3215
Okay Bear #1188,0.1261,0.0456,0.022,0.026,0.0227,0.6672,0.0412,0.022,0.6672,0.13582857142857144,183.5996316488187,3216
Okay Bear #1171,0.1252,0.0818,0.0426,0.0965,0.0091,0.6672,0.0551,0.0091,0.6672,0.15392857142857141,183.58676320288524,3217
Okay Bear #8558,0.1187,0.0259,0.0797,0.0454,0.0256,0.0409,0.026,0.0256,0.1187,0.051742857142857146,183.5820378146689,3218
Okay Bear #9377,0.1326,0.0606,0.0344,0.0454,0.0315,0.6672,0.0133,0.0133,0.6672,0.1407142857142857,183.57213008472846,3219
Okay Bear #1191,0.1265,0.0456,0.0211,0.0788,0.0157,0.6672,0.0352,0.0157,0.6672,0.14144285714285715,183.52084254443076,3220
Okay Bear #2082,0.1326,0.1413,0.0233,0.094,0.015,0.6672,0.0212,0.015,0.6672,0.15637142857142858,183.5106507194328,3221
Okay Bear #3614,0.1261,0.1268,0.0101,0.2023,0.1965,0.6672,0.0175,0.0101,0.6672,0.1923571428571429,183.50042079545426,3222
Okay Bear #3776,0.1227,0.0377,0.0344,0.1309,0.0193,0.0409,0.0279,0.0193,0.1309,0.05911428571428571,183.4899881951935,3223
Okay Bear #3713,0.1265,0.144,0.1231,0.062,0.0104,0.6672,0.0214,0.0104,0.6672,0.16494285714285714,183.4837109662165,3224
Okay Bear #5363,0.1227,0.1413,0.0271,0.2023,0.015,0.0282,0.0412,0.015,0.2023,0.08254285714285715,183.47012705573974,3225
Okay Bear #6261,0.1326,0.0276,0.0271,0.0671,0.0161,0.6672,0.0412,0.0161,0.6672,0.13984285714285713,183.45930771026534,3226
Okay Bear #5710,0.1261,0.144,0.0271,0.1309,0.0104,0.6672,0.0379,0.0104,0.6672,0.16337142857142858,183.45231835552602,3227
Okay Bear #3706,0.1187,0.0495,0.0233,0.0507,0.0115,0.6672,0.2698,0.0115,0.6672,0.1701,183.4307127668713,3228
Okay Bear #7806,0.126,0.0818,0.1231,0.031,0.1965,0.6672,0.0086,0.0086,0.6672,0.1763142857142857,183.40991742688107,3229
Okay Bear #5065,0.1252,0.0818,0.0116,0.2023,0.0268,0.6672,0.0301,0.0116,0.6672,0.16357142857142856,183.39703476357496,3230
Okay Bear #7733,0.1227,0.144,0.0116,0.2023,0.0139,0.6672,0.2698,0.0116,0.6672,0.20450000000000004,183.3921502024972,3231
Okay Bear #3003,0.1187,0.0641,0.2305,0.0507,0.0193,0.6672,0.0122,0.0122,0.6672,0.1661,183.36697010468464,3232
Okay Bear #5748,0.1252,0.0495,0.0797,0.2023,0.013,0.0269,0.0424,0.013,0.2023,0.077,183.3621495973419,3233
Okay Bear #2427,0.1265,0.039,0.0922,0.094,0.012,0.6672,0.023,0.012,0.6672,0.15055714285714283,183.3408440002338,3234
Okay Bear #9101,0.1265,0.1413,0.2305,0.0965,0.0139,0.0407,0.0175,0.0139,0.2305,0.09527142857142858,183.33869602551513,3235
Okay Bear #3907,0.1222,0.0495,0.1231,0.0671,0.0104,0.6672,0.0292,0.0104,0.6672,0.15267142857142857,183.31115521853022,3236
Okay Bear #6532,0.1265,0.0377,0.2305,0.0965,0.0251,0.0171,0.0279,0.0171,0.2305,0.0801857142857143,183.2938898941093,3237
Okay Bear #7318,0.126,0.1268,0.0426,0.0341,0.0139,0.0407,0.0551,0.0139,0.1268,0.06274285714285714,183.28392580784384,3238
Okay Bear #3261,0.126,0.144,0.2305,0.1309,0.0114,0.0282,0.0301,0.0114,0.2305,0.10015714285714286,183.26164909454562,3239
Okay Bear #5486,0.1227,0.0641,0.022,0.1309,0.0124,0.6672,0.0412,0.0124,0.6672,0.1515,183.26035504358487,3240
Okay Bear #5559,0.1326,0.0495,0.022,0.1309,0.015,0.6672,0.0292,0.015,0.6672,0.14948571428571425,183.24950615876944,3241
Okay Bear #4259,0.1261,0.1413,0.0211,0.094,0.0157,0.0438,0.0424,0.0157,0.1413,0.0692,183.14924115674555,3242
Okay Bear #1835,0.1187,0.0158,0.0528,0.0671,0.0193,0.6672,0.0412,0.0158,0.6672,0.1403,183.14237979065376,3243
Okay Bear #5641,0.1222,0.1268,0.2305,0.0788,0.012,0.0269,0.0339,0.012,0.2305,0.09015714285714287,183.105071107423,3244
Okay Bear #2291,0.1326,0.1413,0.0151,0.094,0.0204,0.0409,0.0551,0.0151,0.1413,0.07134285714285714,183.10038832049764,3245
Okay Bear #9224,0.1265,0.1268,0.1231,0.0199,0.0193,0.0438,0.0292,0.0193,0.1268,0.0698,183.05740387401616,3246
Okay Bear #7405,0.1326,0.0377,0.2305,0.094,0.0157,0.032,0.0256,0.0157,0.2305,0.08115714285714286,183.05013725089572,3247
Okay Bear #7713,0.1187,0.0456,0.0528,0.062,0.0208,0.0269,0.0309,0.0208,0.1187,0.05109999999999999,183.03695440380966,3248
Okay Bear #3651,0.1252,0.144,0.0922,0.0671,0.0101,0.6672,0.0239,0.0101,0.6672,0.16138571428571427,183.03048766720445,3249
Okay Bear #9061,0.1187,0.0456,0.0528,0.094,0.02,0.032,0.0239,0.02,0.1187,0.05528571428571429,183.0231203887463,3250
Okay Bear #6541,0.1326,0.1268,0.2305,0.094,0.1965,0.032,0.0086,0.0086,0.2305,0.1172857142857143,183.02273441882525,3251
Okay Bear #1500,0.1187,0.0641,0.0083,0.1309,0.1965,0.6672,0.0412,0.0083,0.6672,0.17527142857142855,183.00627511503745,3252
Okay Bear #7505,0.1261,0.039,0.0113,0.2023,0.0197,0.6672,0.2698,0.0113,0.6672,0.1907714285714286,182.97664021080203,3253
Okay Bear #2452,0.1227,0.0201,0.0344,0.062,0.0286,0.0374,0.0551,0.0201,0.1227,0.05147142857142857,182.9518259373755,3254
Okay Bear #4051,0.1222,0.144,0.0099,0.2023,0.0383,0.6672,0.0292,0.0099,0.6672,0.17329999999999998,182.9360421183839,3255
Okay Bear #498,0.1222,0.0641,0.0528,0.0788,0.0227,0.6672,0.0122,0.0122,0.6672,0.1457142857142857,182.93255686006069,3256
Okay Bear #650,0.1222,0.0158,0.1231,0.0965,0.0114,0.6672,0.2698,0.0114,0.6672,0.18657142857142858,182.88516487125423,3257
Okay Bear #6210,0.1222,0.0495,0.0797,0.0788,0.013,0.0438,0.0339,0.013,0.1222,0.06012857142857143,182.87538525566058,3258
Okay Bear #3873,0.1187,0.039,0.0233,0.2023,0.0208,0.0409,0.0352,0.0208,0.2023,0.0686,182.86312587686228,3259
Okay Bear #5804,0.1252,0.0377,0.0151,0.094,0.0193,0.6672,0.0551,0.0151,0.6672,0.1448,182.83697561003277,3260
Okay Bear #1065,0.1227,0.0276,0.2305,0.031,0.0155,0.6672,0.0279,0.0155,0.6672,0.16034285714285715,182.83552651653076,3261
